Name,Year,Rate,Genre,Country,Budget,Gross Worldwide
The Purge,2013,5.8,"Horror,Sci-Fi,Thriller",United States,3000000,89328627
Final Destination 5,2011,5.8,"Action,Horror,Thriller",United States,40000000,157887643
Paranormal Activity 3,2011,5.8,"Horror,Mystery",United States,5000000,207039844
Morgan,2016,5.8,"Action,Horror,Sci-Fi,Thriller",United States,8000000,8809407
Jigsaw,2017,5.8,"Crime,Horror,Mystery,Thriller",United States,10000000,102952888
Firestarter,1984,6.1,"Action,Horror,Sci-Fi,Thriller",United States,15000000,17080167
Underworld: Blood Wars,2016,5.8,"Action,Adventure,Fantasy,Horror",United States,35000000,81093313
A Nightmare on Elm Street 4: The Dream Master,1988,5.7,Horror,United States,13000000,49369899
Poltergeist II: The Other Side,1986,5.7,Horror,United States,19000000,40996665
Buffy the Vampire Slayer,1992,5.7,"Action,Comedy,Fantasy,Horror",United States,7000000,16624456
Friday the 13th Part III,1982,5.7,"Horror,Thriller",United States,2300000,36690067
Ma,2019,5.6,"Horror,Mystery,Thriller",Japan,5000000,61105744
Lake Placid,1999,5.7,"Action,Comedy,Horror",United States,35000000,56870414
Freddy vs. Jason,2003,5.7,"Action,Horror",Canada,30000000,116632628
Club Dread,2004,5.7,"Comedy,Horror,Mystery,Thriller",United States,8600000,7565807
I Know What You Did Last Summer,1997,5.7,"Horror,Mystery",United States,17000000,125586134
Open Water,2003,5.7,"Adventure,Drama,Horror,Thriller",United States,500000,54683487
Countdown,2019,5.4,"Horror,Thriller",United States,6500000,48021766
My Bloody Valentine,2009,5.4,"Horror,Mystery,Thriller",United States,15000000,100734718
Resident Evil: Retribution,2012,5.4,"Action,Adventure,Fantasy,Horror,Sci-Fi,Thriller",Germany,65000000,240159255
The Mummy,2017,5.4,"Action,Adventure,Fantasy,Horror,Thriller",United States,125000000,409231607
The Meg,2018,5.6,"Action,Horror,Sci-Fi,Thriller",United States,130000000,530438278
A Nightmare on Elm Street 2: Freddy's Revenge,1985,5.5,Horror,United States,3000000,29999213
Annabelle,2014,5.4,"Horror,Mystery,Thriller",United States,6500000,257579282
Gretel & Hansel,2020,5.4,"Fantasy,Horror,Mystery,Thriller",United States,5000000,22051055
Bride of Chucky,1998,5.5,"Comedy,Horror,Thriller",United States,25000000,50688658
Maximum Overdrive,1986,5.5,"Action,Comedy,Horror,Sci-Fi",United States,10000000,7433663
Ghost Ship,2002,5.5,Horror,United States,20000000,68349884
Hellraiser III: Hell on Earth,1992,5.5,Horror,United States,5000000,12534961
An American Haunting,2005,5.1,"Drama,History,Horror,Mystery,Thriller",United Kingdom,14000000,29612137
The Grudge 2,2006,5.1,"Horror,Thriller",United States,20000000,70711175
Spawn,1997,5.2,"Action,Drama,Horror",United States,40000000,87840042
Scooby-Doo 2: Monsters Unleashed,2004,5.2,"Animation,Adventure,Comedy,Family,Fantasy,Horror,Mystery,Sci-Fi",United States,80000000,181216833
Dreamcatcher,2003,5.5,"Drama,Horror,Sci-Fi,Thriller",United States,68000000,81240406
See No Evil,2006,5.1,"Action,Horror,Thriller",United States,8000000,18707966
The Hills Have Eyes 2,2007,5.1,"Horror,Thriller",United States,15000000,37697773
Stay Alive,2006,5.1,"Fantasy,Horror,Mystery,Sci-Fi,Thriller",United States,7000000,27298695
The Cave,2005,5.2,"Action,Adventure,Horror,Sci-Fi,Thriller",United States,30000000,33296457
Shutter,2008,5.2,"Horror,Mystery,Thriller",United States,8000000,48555306
The Final Destination,2009,5.2,"Action,Horror,Thriller",United States,40000000,186167139
The Mummy: Tomb of the Dragon Emperor,2008,5.2,"Action,Fantasy,Horror,War",United States,145000000,403449830
A Nightmare on Elm Street,2010,5.2,"Crime,Drama,Horror,Mystery",United States,35000000,115695182
Doom,2005,5.2,"Action,Horror,Sci-Fi",United Kingdom,60000000,58072119
When a Stranger Calls,2006,5.1,"Horror,Thriller",United States,15000000,67062123
The Island of Dr. Moreau,1996,4.6,"Horror,Sci-Fi,Thriller",United States,40000000,49627779
Black Christmas,2006,4.6,Horror,Canada,9000000,21510851
Psycho,1998,4.6,"Horror,Mystery,Thriller",United States,60000000,37170655
Rings,2017,4.5,"Drama,Horror,Mystery,Romance",United States,25000000,83080890
Ouija,2014,4.5,"Horror,Mystery,Thriller",United States,5000000,103687316
Paranormal Activity 4,2012,4.6,"Horror,Mystery",United States,5000000,142802657
Sorority Row,2009,5.2,"Horror,Mystery",United States,12500000,27206120
Paranormal Activity: The Ghost Dimension,2015,4.6,"Horror,Mystery",United States,10000000,78903124
Friday the 13th Part VIII: Jason Takes Manhattan,1989,4.6,"Adventure,Horror,Thriller",Canada,5000000,14343976
Aliens vs. Predator: Requiem,2007,4.6,"Action,Horror,Sci-Fi,Thriller",United States,40000000,130290885
I Still Know What You Did Last Summer,1998,4.7,"Horror,Mystery",United States,65000000,40002112
Halloween: The Curse of Michael Myers,1995,4.8,"Horror,Thriller",United States,5000000,15116634
Anacondas: The Hunt for the Blood Orchid,2004,4.7,"Action,Adventure,Horror,Thriller",United States,20000000,70992898
Friday the 13th: A New Beginning,1985,4.8,"Horror,Mystery,Thriller",United States,2200000,21930418
Alone in the Dark,2005,2.4,"Action,Horror,Sci-Fi",Canada,20000000,12693645
House of the Dead,2003,2.1,"Action,Adventure,Horror",Germany,12000000,13818181
Leprechaun,1993,4.8,"Comedy,Fantasy,Horror",United States,900000,8556940
BloodRayne,2005,2.9,"Action,Fantasy,Horror",Germany,25000000,3650275
Jaws 3-D,1983,3.7,"Adventure,Horror,Thriller",United States,20500000,87987055
Vampires Suck,2010,3.4,"Comedy,Horror",United States,20000000,80547866
I Know Who Killed Me,2007,3.6,"Horror,Mystery,Thriller",United States,12000000,9669758
Slender Man,2018,3.2,"Horror,Mystery,Thriller",United States,10000000,51738549
The Fog,2005,3.7,"Horror,Mystery",United States,18000000,46201432
Jaws: The Revenge,1987,3.0,"Adventure,Horror,Thriller",United States,23000000,51881013
One Missed Call,2008,4.0,"Horror,Mystery",United States,20000000,45847751
Prom Night,2008,3.9,"Horror,Mystery",United States,20000000,57197876
Shark Night,2011,4.0,"Horror,Thriller",United States,25000000,41363927
The Wicker Man,2006,3.7,"Horror,Mystery,Thriller",United States,40000000,38805380
Book of Shadows: Blair Witch 2,2000,4.0,"Adventure,Fantasy,Horror,Mystery,Thriller",United States,15000000,47737094
Piranha 3DD,2012,3.7,"Comedy,Horror,Sci-Fi,Thriller",Japan,5000000,8518634
Jason Goes to Hell: The Final Friday,1993,4.2,"Fantasy,Horror,Thriller",United States,3000000,15935068
Halloween: Resurrection,2002,4.0,"Horror,Thriller",United States,13000000,37664855
Boogeyman,2005,4.2,"Drama,Horror,Mystery,Thriller",United States,20000000,67192859
The Devil Inside,2012,4.2,Horror,United States,1000000,101758490
Jason X,2001,4.4,"Action,Horror,Sci-Fi,Thriller",Canada,11000000,17077882
Anaconda,1997,4.8,"Action,Adventure,Horror,Thriller",Peru,45000000,136885767
Seed of Chucky,2004,4.8,"Comedy,Horror,Thriller",United States,12000000,24829644
Texas Chainsaw,2013,4.8,"Horror,Thriller",United States,20000000,47340586
The Unborn,2009,4.8,"Horror,Mystery,Thriller",United States,16000000,76514050
The Forest,2016,4.8,"Horror,Mystery,Thriller",United States,10000000,39712000
The Woman in Black 2: Angel of Death,2014,4.8,"Drama,Horror,Thriller",United Kingdom,15000000,48854305
Godsend,2004,4.8,"Drama,Fantasy,Horror,Sci-Fi,Thriller",Canada,25000000,30120671
Pulse,2006,4.8,"Horror,Sci-Fi,Thriller",United States,20500000,29907685
Freddy's Dead: The Final Nightmare,1991,4.9,"Fantasy,Horror",United States,11000000,34872033
Halloween II,2009,4.8,Horror,United States,15000000,39421467
Meet the Blacks,2016,4.8,"Comedy,Horror",United States,900000,9097072
Dracula 2000,2000,4.9,"Action,Fantasy,Horror,Thriller",United States,54000000,47053625
Poltergeist,2015,4.9,"Horror,Thriller",United States,35000000,95437994
Fantasy Island,2020,4.9,"Action,Adventure,Fantasy,Horror,Mystery,Thriller",United States,7000000,48811343
Ghosts of Mars,2001,4.9,"Action,Horror,Sci-Fi",United States,28000000,14010832
The Darkest Hour,2011,4.9,"Action,Adventure,Horror,Sci-Fi,Thriller",United States,30000000,64626786
Vanishing on 7th Street,2010,4.9,"Horror,Mystery,Thriller",United States,10000000,1671196
Valentine,2001,4.9,"Horror,Mystery,Thriller",Canada,29000000,36684136
Cursed,2005,5.0,"Comedy,Horror",Germany,38000000,29621722
The Haunting,1999,5.0,"Fantasy,Horror,Mystery,Thriller",United States,80000000,177311151
Halloween III: Season of the Witch,1982,5.0,"Horror,Mystery,Sci-Fi,Thriller",United States,2500000,14400000
Darkness Falls,2003,5.0,"Fantasy,Horror,Mystery,Thriller",United States,11000000,47488536
Virus,1999,5.0,"Action,Horror,Sci-Fi,Thriller",United States,75000000,30657854
Silent Hill: Revelation,2012,5.0,"Horror,Mystery,Thriller",Canada,20000000,55362705
Blair Witch,2016,5.0,"Horror,Mystery,Thriller",Canada,5000000,45173154
A Haunted House,2013,5.0,"Comedy,Fantasy,Horror",United States,2500000,60159584
A Nightmare on Elm Street 5: The Dream Child,1989,5.1,"Fantasy,Horror",United States,6000000,22168359
Halloween 5: The Revenge of Michael Myers,1989,5.1,"Horror,Thriller",United States,5000000,11642254
Paranormal Activity: The Marked Ones,2014,5.0,"Horror,Mystery",United States,5000000,90894962
Chernobyl Diaries,2012,5.0,"Horror,Mystery,Thriller",United States,1000000,38390020
Child's Play 3,1991,5.1,"Horror,Thriller",United States,13000000,20560255
[REC] 3: Genesis,2012,5.0,"Horror,Thriller",Spain,6400000,11019975
The Haunted Mansion,2003,5.1,"Comedy,Family,Fantasy,Horror,Mystery",United States,90000000,182290266
The Lords of Salem,2012,5.2,"Horror,Thriller",Canada,1500000,1544989
Exorcist: The Beginning,2004,5.1,"Horror,Mystery,Thriller",United States,80000000,78110021
The Lazarus Effect,2015,5.2,"Horror,Mystery,Sci-Fi,Thriller",United States,3300000,38356892
Flatliners,2017,5.2,"Drama,Horror,Mystery,Sci-Fi,Thriller",United States,19000000,45158254
The First Purge,2018,5.2,"Action,Horror,Sci-Fi,Thriller",United States,13000000,137056262
Hellboy,2019,5.2,"Action,Adventure,Fantasy,Horror,Sci-Fi",United States,50000000,55065289
Truth or Dare,2018,5.2,"Horror,Thriller",United States,3500000,95330710
Apollo 18,2011,5.2,"Horror,Mystery,Sci-Fi,Thriller",United States,5000000,26236153
The Happening,2008,5.0,"Adventure,Drama,Horror,Sci-Fi,Thriller",United States,48000000,163403799
Queen of the Damned,2002,5.3,"Drama,Fantasy,Horror",United States,35000000,45479110
The Stepford Wives,2004,5.3,"Comedy,Horror,Sci-Fi,Thriller",United States,90000000,103370127
The Covenant,2006,5.3,"Action,Adventure,Fantasy,Horror,Mystery,Thriller",United States,20000000,37598767
Friday the 13th Part VII: The New Blood,1988,5.3,"Horror,Thriller",United States,2800000,19170001
Jennifer's Body,2009,5.3,"Comedy,Horror",United States,16000000,31556061
The Strangers: Prey at Night,2018,5.2,Horror,United States,5000000,31039126
Spiral,2021,5.3,"Crime,Drama,Horror,Mystery,Thriller",United States,20000000,40618920
Legion,2010,5.3,"Action,Fantasy,Horror",United States,26000000,67918658
The Green Inferno,2013,5.3,"Adventure,Horror",United States,5000000,12666449
The Resident,2011,5.3,"Drama,Horror,Mystery,Thriller",United Kingdom,20000000,6742156
The Curse of La Llorona,2019,5.3,"Horror,Mystery,Thriller",United States,9000000,123133739
The Nun,2018,5.3,"Horror,Mystery,Thriller",United States,22000000,365551694
Sinister 2,2015,5.3,"Horror,Mystery,Thriller",United States,10000000,53329150
The Bad Batch,2016,5.3,"Action,Horror,Mystery,Romance,Sci-Fi",United States,6000000,201890
The New Mutants,2020,5.3,"Action,Horror,Mystery,Sci-Fi",United States,67000000,49169594
Tusk,2014,5.3,"Comedy,Drama,Horror,Thriller",Canada,3000000,1882074
The Lawnmower Man,1992,5.4,"Horror,Sci-Fi",United Kingdom,10000000,32100816
House of Wax,2005,5.4,"Horror,Thriller",Australia,40000000,68766121
Eight Legged Freaks,2002,5.4,"Action,Adventure,Comedy,Horror,Sci-Fi,Thriller",United States,30000000,45867333
The Messengers,2007,5.4,"Drama,Horror,Mystery",United States,16000000,55060212
The Eye,2008,5.4,"Horror,Mystery",United States,12000000,58010320
The Ring Two,2005,5.4,"Horror,Mystery",United States,50000000,163995949
Piranha 3D,2010,5.4,"Comedy,Fantasy,Horror,Romance",United States,24000000,83188165
All the Boys Love Mandy Lane,2006,5.5,"Horror,Mystery,Thriller",United States,750000,1904640
Turistas,2006,5.4,"Horror,Mystery,Thriller",United States,10000000,14756513
Friday the 13th,2009,5.5,"Horror,Mystery,Thriller",United States,19000000,91509154
The Omen,2006,5.5,"Drama,Fantasy,Horror,Mystery,Thriller",United States,25000000,119974972
The Innkeepers,2011,5.5,"Drama,Horror,Mystery",United States,750000,1178831
White Noise,2005,5.5,"Drama,Horror,Mystery,Thriller",United Kingdom,10000000,91196419
Hostel: Part II,2007,5.5,Horror,United States,10200000,35728183
Red Riding Hood,2011,5.5,"Fantasy,Horror,Mystery,Romance,Thriller",United States,42000000,90260376
Winchester,2018,5.5,"Drama,Fantasy,Horror,Mystery,Thriller",Australia,3500000,44019588
Vampire Academy,2014,5.5,"Action,Comedy,Drama,Fantasy,Horror,Mystery,Thriller",United States,30000000,15642346
Resident Evil: The Final Chapter,2016,5.5,"Action,Adventure,Fantasy,Horror,Sci-Fi,Thriller",Germany,40000000,312242626
Unfriended,2014,5.5,"Horror,Mystery,Thriller",United States,1000000,62882090
Urban Legend,1998,5.6,"Horror,Mystery,Thriller",Canada,14000000,72527595
Village of the Damned,1995,5.6,"Horror,Sci-Fi,Thriller",United States,22000000,9418365
Children of the Corn,1984,5.6,"Horror,Thriller",United States,800000,14568989
Scream 3,2000,5.6,"Horror,Mystery",United States,40000000,161834276
The Texas Chainsaw Massacre 2,1986,5.6,"Comedy,Horror",United States,4700000,8025872
House on Haunted Hill,1999,5.6,"Crime,Fantasy,Horror,Mystery,Thriller",United States,37000000,42593455
Alien vs. Predator,2004,5.6,"Action,Adventure,Horror,Sci-Fi,Thriller",United States,60000000,177427090
Thir13en Ghosts,2001,5.6,"Fantasy,Horror",United States,42000000,68467960
Friend Request,2016,5.3,"Horror,Mystery,Thriller",Germany,9900000,10975390
Jeepers Creepers 2,2003,5.6,Horror,United States,17000000,63102666
Cabin Fever,2002,5.6,Horror,United States,1500000,30553394
The Reaping,2007,5.6,"Horror,Thriller",United States,40000000,62771059
Diary of the Dead,2007,5.6,"Fantasy,Horror,Sci-Fi,Thriller",United States,2000000,5540941
Halloween Kills,2021,5.6,"Horror,Thriller",United States,20000000,131647155
Don't Be Afraid of the Dark,2010,5.6,"Fantasy,Horror,Thriller",United States,25000000,38269529
Dark Water,2005,5.6,"Drama,Horror,Mystery",United States,30000000,68357079
Hatchet,2006,5.7,"Comedy,Horror,Thriller",United States,1500000,208550
The Ward,2010,5.6,"Horror,Mystery,Thriller",United States,10000000,5343820
Priest,2011,5.7,"Action,Adventure,Fantasy,Horror,Sci-Fi,Thriller",United States,60000000,78309505
Pet Sematary,2019,5.7,"Horror,Mystery,Thriller",United States,21000000,113118226
House at the End of the Street,2012,5.6,"Drama,Horror,Thriller",United States,10000000,44287131
Paranormal Activity 2,2010,5.7,"Horror,Mystery",United States,3000000,177512032
Saw: The Final Chapter,2010,5.6,"Crime,Horror,Mystery",Canada,20000000,136151680
Splice,2009,5.7,"Drama,Horror,Sci-Fi",Canada,30000000,27127620
The Last Exorcism,2010,5.7,"Horror,Mystery,Thriller",France,1800000,69432527
Insidious: The Last Key,2018,5.7,"Horror,Mystery,Thriller",United States,10000000,167885588
Honeymoon,2014,5.7,"Drama,Fantasy,Horror,Mystery,Romance,Sci-Fi,Thriller",United States,1000000,24343
Jaws 2,1978,5.8,"Adventure,Horror,Thriller",United States,20000000,187884007
47 Meters Down,2017,5.7,"Adventure,Drama,Horror,Thriller",United Kingdom,5300000,62198461
Species,1995,5.8,"Action,Horror,Sci-Fi,Thriller",United States,35000000,113374103
Thinner,1996,5.8,"Fantasy,Horror",United States,8500000,15315484
Halloween H20: 20 Years Later,1998,5.8,"Horror,Thriller",United States,17000000,55041738
End of Days,1999,5.8,"Action,Fantasy,Horror,Thriller",United States,100000000,211989043
Halloween 4: The Return of Michael Myers,1988,5.8,"Horror,Thriller",United States,5000000,17768757
Gothika,2003,5.8,"Horror,Mystery,Thriller",United States,40000000,141591324
Blade: Trinity,2004,5.8,"Action,Horror,Sci-Fi",United States,65000000,131977904
The Relic,1997,5.8,"Horror,Mystery,Sci-Fi,Thriller",United States,40000000,33956608
Final Destination 3,2006,5.8,"Horror,Mystery,Thriller",United States,25000000,118890272
Hollow Man,2000,5.8,"Action,Horror,Sci-Fi,Thriller",United States,95000000,190213455
The Wolfman,2010,5.8,"Drama,Fantasy,Horror,Thriller",United States,150000000,139789765
Cry Wolf,2005,5.8,"Drama,Horror,Mystery,Thriller",United States,1000000,32586408
The Texas Chainsaw Massacre: The Beginning,2006,5.8,"Horror,Thriller",United States,16000000,51764406
Vivarium,2019,5.8,"Comedy,Horror,Mystery,Sci-Fi",Ireland,4000000,434030
Child's Play,2019,5.7,"Drama,Horror,Sci-Fi",Canada,10000000,44907074
Child's Play 2,1990,5.9,"Horror,Thriller",United States,13000000,35763605
The Grudge,2004,5.9,"Horror,Mystery,Thriller",United States,10000000,187281115
Escape Room: Tournament of Champions,2021,5.8,"Action,Adventure,Horror,Mystery,Sci-Fi,Thriller",United States,15000000,51788958
King Kong,1976,5.9,"Adventure,Horror",United States,24000000,52614445
Hostel,2005,5.9,Horror,United States,4800000,81979826
The Haunting in Connecticut,2009,5.9,"Drama,Horror,Mystery,Thriller",United States,10000000,77578320
The Brothers Grimm,2005,5.9,"Action,Adventure,Comedy,Fantasy,Horror,Mystery,Thriller",United States,88000000,105316267
The X Files: I Want to Believe,2008,5.9,"Crime,Drama,Horror,Mystery,Sci-Fi,Thriller",United States,30000000,69363381
The Possession,2012,5.9,"Horror,Mystery,Thriller",United States,14000000,85446075
Saw IV,2007,5.9,"Crime,Horror,Mystery,Thriller",Canada,10000000,139352633
P2,2007,5.9,"Crime,Horror,Thriller",United States,8000000,7766240
The Fourth Kind,2009,5.9,"Horror,Mystery,Sci-Fi,Thriller",United States,10000000,47719794
Dracula: Dead and Loving It,1995,5.9,"Comedy,Fantasy,Horror",France,30000000,10772144
Abraham Lincoln: Vampire Hunter,2012,5.9,"Action,Fantasy,Horror",United States,69000000,116471580
The Ruins,2008,5.9,"Adventure,Fantasy,Horror,Mystery,Sci-Fi,Thriller",United States,8000000,22818256
Quarantine,2008,5.9,"Horror,Thriller",United States,12000000,41319906
The Mortal Instruments: City of Bones,2013,5.9,"Action,Adventure,Fantasy,Horror,Mystery,Romance",United States,60000000,95396573
Carrie,2013,5.9,"Drama,Horror",United States,30000000,84790678
Underwater,2020,5.9,"Adventure,Horror,Sci-Fi,Thriller",United States,80000000,40882928
Annabelle Comes Home,2019,5.9,"Horror,Mystery,Thriller",United States,30000000,231252591
The Prodigy,2019,5.9,"Fantasy,Horror,Mystery,Thriller",United States,6000000,21127789
The Midnight Meat Train,2008,6.0,"Action,Adventure,Horror,Mystery,Thriller",United States,15000000,3534313
Hide and Seek,2005,6.0,"Drama,Horror,Mystery,Thriller",Germany,30000000,127369981
